iata,name,latitude_deg,longitude_deg,continent,iso_country,municipality,timezone,icao_code,gps_code
CNB,Coonamble Airport,-30.980946,148.377833,OC,AU,,Australia/Sydney,YCNM,YCNM
CND,Mihail Kogălniceanu International Airport,44.362202,28.4883,EU,RO,Mihail Kogălniceanu,Europe/Bucharest,LRCK,LRCK
CNF,Tancredo Neves International Airport,-19.63571,-43.966928,SA,BR,Belo Horizonte,America/Sao_Paulo,SBCF,SBCF
CNG,Cognac-Châteaubernard (BA 709) Air Base,45.658298,-0.3175,EU,FR,Cognac/Châteaubernard,Europe/Paris,LFBG,LFBG
CNI,Changhai Airport,39.266667,122.666944,AS,CN,Dalian (Changhai),Asia/Shanghai,ZYCH,ZYCH
CNJ,Cloncurry Airport,-20.668600082399998,140.503997803,OC,AU,Cloncurry,Australia/Brisbane,YCCY,YCCY
CNL,Sindal Airport,57.503502,10.2294,EU,DK,Sindal,Europe/Copenhagen,EKSN,EKSN
CNM,Cavern City Air Terminal,32.337501525878906,-104.26300048828125,NA,US,Carlsbad,America/Denver,KCNM,KCNM
CNN,Kannur International Airport,11.918614,75.547211,AS,IN,Kannur,Asia/Kolkata,VOKN,VOKN
CNQ,Corrientes Airport,-27.4455,-58.7619,SA,AR,Corrientes,America/Argentina/Cordoba,SARC,SARC
CNR,Chañaral Airport,-26.3325,-70.6073,SA,CL,Chañaral,America/Santiago,SCRA,SCRA
CNS,Cairns International Airport,-16.878921,145.74948,OC,AU,Cairns,Australia/Brisbane,YBCS,YBCS
CNU,Chanute Martin Johnson Airport,37.668173,-95.486727,NA,US,Chanute,America/Chicago,KCNU,KCNU
CNX,Chiang Mai International Airport,18.766799926799997,98.962600708,AS,TH,Chiang Mai,Asia/Bangkok,VTCC,VTCC
CNY,Canyonlands Regional Airport,38.755001,-109.754997,NA,US,Moab,America/Denver,KCNY,KCNY
COC,Comodoro Pierrestegui Airport,-31.2969,-57.9966,SA,AR,Concordia,America/Argentina/Cordoba,SAAC,SAAC
COD,Yellowstone Regional Airport,44.520199,-109.024002,NA,US,Cody,America/Denver,KCOD,KCOD
COE,Coeur D'Alene Airport - Pappy Boyington Field,47.7743,-116.82,NA,US,Coeur d'Alene,America/Los_Angeles,KCOE,KCOE
COF,Patrick Space Force Base,28.2349,-80.6101,NA,US,Cocoa Beach,America/New_York,KCOF,KCOF
COJ,Coonabarabran Airport,-31.3325,149.266998,OC,AU,,Australia/Sydney,YCBB,YCBB
COK,Cochin International Airport,10.151047,76.400838,AS,IN,Kochi,Asia/Kolkata,VOCI,VOCI
CON,Concord Municipal Airport,43.20270157,-71.50229645,NA,US,Concord,America/New_York,KCON,KCON
COO,Cadjehoun Airport,6.357230186462402,2.384350061416626,AF,BJ,Cotonou,Africa/Porto-Novo,DBBB,DBBB
COQ,Choibalsan Airport,48.13570022583008,114.64600372314453,AS,MN,,Asia/Choibalsan,ZMCD,ZMCD
COR,Ingeniero Ambrosio Taravella Airport,-31.323601,-64.208,SA,AR,Cordoba,America/Argentina/Cordoba,SACO,SACO
COS,City of Colorado Springs Municipal Airport,38.805801,-104.700996,NA,US,Colorado Springs,America/Denver,KCOS,KCOS
COU,Columbia Regional Airport,38.8181,-92.219597,NA,US,Columbia,America/Chicago,KCOU,KCOU
COV,Çukurova International Airport,36.890908,35.070522,AS,TR,Tarsus,Europe/Lisbon,LTDB,LTDB
CPC,Aviador C. Campos Airport,-40.075401,-71.137299,SA,AR,Chapelco/San Martin de los Andes,America/Argentina/Salta,SAZY,SAZY
CPD,Coober Pedy Airport,-29.038312,134.722166,OC,AU,Coober Pedy,Australia/Adelaide,YCBP,YCBP
CPE,Ingeniero Alberto Acuña Ongay International Airport,19.816799163800003,-90.5002975464,NA,MX,Campeche,America/Merida,MMCP,MMCP
CPH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329,EU,DK,Copenhagen,Europe/Copenhagen,EKCH,EKCH
CPO,Desierto de Atacama Airport,-27.2611999512,-70.7791976929,SA,CL,Copiapo,America/Santiago,SCAT,SCAT
CPR,Casper-Natrona County International Airport,42.908001,-106.463997,NA,US,Casper,America/Denver,KCPR,KCPR
CPT,Cape Town International Airport,-33.9648017883,18.6016998291,AF,ZA,Cape Town,Africa/Johannesburg,FACT,FACT
CPV,Presidente João Suassuna Airport,-7.269662,-35.896057,SA,BR,Campina Grande,America/Recife,SBKG,SBKG
CPX,Benjamin Rivera Noriega Airport,18.312954,-65.303893,NA,PR,Culebra,America/Puerto_Rico,TJCP,TJCP
CQD,Shahrekord Airport,32.2971992493,50.842201232899995,AS,IR,Shahrekord,Asia/Tehran,OIFS,OIFS
CQF,Calais Marck Airport,50.962101,1.95476,EU,FR,Calais,Europe/Paris,LFAC,LFAC
CQM,Ciudad Real International Airport,38.856479,-3.969944,EU,ES,Ciudad Real,Europe/Madrid,LERL,LERL
CQW,Chongqing Xiannüshan Airport,29.465658,107.693664,AS,CN,Wulong,Asia/Shanghai,ZUWL,ZUWL
CRA,Craiova International Airport,44.3181,23.888599,EU,RO,Craiova,Europe/Bucharest,LRCV,LRCV
CRC,Santa Ana Airport,4.75818,-75.9557,SA,CO,Cartago,America/Bogota,SKGO,SKGO
CRD,General E. Mosconi Airport,-45.7853,-67.4655,SA,AR,Comodoro Rivadavia,America/Argentina/Catamarca,SAVC,SAVC
CRE,Grand Strand Airport,33.8116989136,-78.72389984130001,NA,US,North Myrtle Beach,America/New_York,KCRE,KCRE
CRG,Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,NA,US,Jacksonville,America/New_York,KCRG,KCRG
CRI,Colonel Hill Airport,22.7456,-74.182404,NA,BS,Colonel Hill,America/Nassau,MYCI,MYCI
CRK,Clark International Airport / Clark Air Base,15.186,120.559998,AS,PH,Mabalacat,Asia/Manila,RPLC,RPLC
CRL,Brussels South Charleroi Airport,50.460982,4.457158,EU,BE,Charleroi,Europe/Brussels,EBCI,EBCI
CRM,Catarman National Airport,12.50161,124.635258,AS,PH,Catarman,Asia/Manila,RPVF,RPVF
CRP,Corpus Christi International Airport,27.770399,-97.501198,NA,US,Corpus Christi,America/Chicago,KCRP,KCRP
CRQ,Caravelas Airport,-17.6523,-39.253101,SA,BR,Caravelas,America/Bahia,,SSCV
CRV,Crotone Sant'Anna Pythagoras Airport,38.9972,17.0802,EU,IT,Isola di Capo Rizzuto (KR),Europe/Rome,LIBC,LIBC
CRW,Yeager Airport,38.3731,-81.593201,NA,US,Charleston,America/New_York,KCRW,KCRW
CRZ,Türkmenabat International Airport,38.930662,63.563982,AS,TM,Türkmenabat,Asia/Ashgabat,UTAV,UTAV
CSB,Caransebeş Airport,45.420142,22.252507,EU,RO,Caransebeş,Europe/Bucharest,LRCS,LRCS
CSF,Creil Air Base,49.253502,2.51914,EU,FR,Creil,Europe/Paris,LFPC,LFPC
CSG,Columbus Metropolitan Airport,32.516300201416016,-84.93890380859375,NA,US,Columbus,America/New_York,KCSG,KCSG
CSK,Cap Skirring Airport,12.39533,-16.748,AF,SN,Cap Skirring,Africa/Dakar,GOGS,GOGS
CSV,Crossville Memorial Airport Whitson Field,35.95131,-85.08499,NA,US,Crossville,America/Chicago,KCSV,KCSV
CSX,Changsha Huanghua International Airport,28.189199,113.220001,AS,CN,Changsha (Changsha),Asia/Shanghai,ZGHA,ZGHA
CSY,Cheboksary Airport,56.090302,47.347301,AS,RU,Cheboksary,Europe/Moscow,UWKS,UWKS
CTA,Catania-Fontanarossa Airport,37.466801,15.0664,EU,IT,Catania,Europe/Rome,LICC,LICC
CTB,Cut Bank International Airport,48.608657,-112.378183,NA,US,Cut Bank,America/Denver,KCTB,KCTB
CTC,Coronel Felipe Varela International Airport,-28.593117,-65.7512,SA,AR,Catamarca,America/Argentina/Catamarca,SANC,SANC
CTD,Alonso Valderrama Airport,7.98784,-80.409837,NA,PA,Chitré,America/Panama,MPCE,MPCE
CTG,Rafael Nuñez International Airport,10.4424,-75.513,SA,CO,Cartagena,America/Bogota,SKCG,SKCG
CTL,Charleville Airport,-26.4132995605,146.261993408,OC,AU,Charleville,Australia/Brisbane,YBCV,YBCV
CTM,Chetumal International Airport,18.504985,-88.328018,NA,MX,Chetumal,America/Cancun,MMCM,MMCM
CTN,Cooktown Airport,-15.443649,145.183221,OC,AU,,Australia/Brisbane,YCKN,YCKN
CTS,New Chitose Airport,42.7752,141.692001,AS,JP,Sapporo,Asia/Tokyo,RJCC,RJCC
CTT,Le Castellet Airport,43.252499,5.78519,EU,FR,"Le Castellet, Var",Europe/Paris,LFMQ,LFMQ
CTU,Chengdu Shuangliu International Airport,30.558257,103.945966,AS,CN,Chengdu (Shuangliu),Asia/Shanghai,ZUUU,ZUUU
CUB,Jim Hamilton L.B. Owens Airport,33.970500946,-80.9952011108,NA,US,Columbia,America/New_York,KCUB,KCUB
CUC,Camilo Daza International Airport,7.92757,-72.5115,SA,CO,Cúcuta,America/Bogota,SKCC,SKCC
CUE,Mariscal Lamar Airport,-2.88947,-78.984398,SA,EC,Cuenca,America/Guayaquil,SECU,SECU
CUF,Cuneo International Airport,44.547001,7.62322,EU,IT,Levaldigi (CN),Europe/Rome,LIMZ,LIMZ
CUK,Caye Caulker Airport,17.735015,-88.032862,NA,BZ,Caye Caulker,America/Belize,,MZCK
CUL,Bachigualato Federal International Airport,24.76504,-107.475228,NA,MX,Culiacán,America/Mazatlan,MMCL,MMCL
CUM,Cumaná (Antonio José de Sucre) Airport,10.450333,-64.13047,SA,VE,,America/Caracas,SVCU,SVCU
CUN,Cancún International Airport,21.039444,-86.874304,NA,MX,Cancún,America/Cancun,MMUN,MMUN
CUP,General Francisco Bermúdez Airport,10.660014,-63.261681,SA,VE,Carúpano,America/Caracas,SVCP,SVCP
CUQ,Coen Airport,-13.761133,143.113311,OC,AU,Coen,Australia/Brisbane,YCOE,YCOE
CUR,Hato International Airport,12.1889,-68.959801,NA,CW,Willemstad,America/Curacao,TNCC,TNCC
CUT,Cutral-Co Airport,-38.939701,-69.264603,SA,AR,Cutral-Co,America/Argentina/Salta,SAZW,SAZW
CUU,General Roberto Fierro Villalobos International Airport,28.7029,-105.964996,NA,MX,Chihuahua,America/Chihuahua,MMCU,MMCU
CUZ,Alejandro Velasco Astete International Airport,-13.535699844400002,-71.9387969971,SA,PE,Cusco,America/Lima,SPZO,SPZO
CVC,Cleve Airport,-33.709702,136.505005,OC,AU,,Australia/Adelaide,YCEE,YCEE
CVE,Coveñas Airport,9.40092,-75.6913,SA,CO,Coveñas,America/Bogota,SKCV,SKCV
CVG,Cincinnati Northern Kentucky International Airport,39.048801,-84.667801,NA,US,Cincinnati / Covington,America/New_York,KCVG,KCVG
CVJ,General Mariano Matamoros International Airport,18.833922,-99.261818,NA,MX,Temixco,America/Mexico_City,MMCB,MMCB
CVM,General Pedro Jose Mendez International Airport,23.7033004761,-98.9564971924,NA,MX,Ciudad Victoria,America/Monterrey,MMCV,MMCV
CVN,Clovis Municipal Airport,34.426594,-103.078794,NA,US,Clovis,America/Denver,KCVN,KCVN
CVO,Corvallis Municipal Airport,44.49720001,-123.2900009,NA,US,Corvallis,America/Los_Angeles,KCVO,KCVO
CVQ,Carnarvon Airport,-24.880091,113.670752,OC,AU,Carnarvon,Australia/Perth,YCAR,YCAR
CVS,Cannon Air Force Base,34.382801,-103.321999,NA,US,Clovis,America/Denver,KCVS,KCVS
CVT,Coventry Airport,52.369701,-1.47972,EU,GB,"Coventry, West Midlands",Europe/London,EGBE,EGBE
CWA,Central Wisconsin Airport,44.777448,-89.670238,NA,US,Mosinee,America/Chicago,KCWA,KCWA
CWB,Afonso Pena Airport,-25.5285,-49.1758,SA,BR,Curitiba,America/Sao_Paulo,SBCT,SBCT
CWC,Chernivtsi International Airport,48.259300231933594,25.98080062866211,EU,UA,Chernivtsi,Europe/Kyiv,UKLN,UKLN
CWJ,Cangyuan Washan Airport,23.276331,99.373169,AS,CN,Lincang (Cangyuan),Asia/Shanghai,ZPCW,ZPCW
CWL,Cardiff International Airport,51.396702,-3.34333,EU,GB,Cardiff,Europe/London,EGFF,EGFF
CWT,Cowra Airport,-33.846894,148.648007,OC,AU,,Australia/Sydney,YCWR,YCWR
CWW,Corowa Airport,-35.994701,146.356995,OC,AU,,Australia/Sydney,YCOR,YCOR
CXA,Caicara del Orinoco Airport,7.62551,-66.162804,SA,VE,,America/Caracas,SVCD,SVCD
CXB,Cox's Bazar Airport,21.457517,91.963263,AS,BD,Cox's Bazar,Asia/Dhaka,VGCB,VGCB
CXI,Cassidy International Airport,1.986278,-157.350011,OC,KI,Kiritimati,Pacific/Kiritimati,PLCH,PLCH
CXJ,Hugo Cantergiani Regional Airport,-29.197183,-51.187647,SA,BR,Caxias Do Sul,America/Sao_Paulo,SBCX,SBCX
CXO,Conroe-North Houston Regional Airport,30.351801,-95.414497,NA,US,Houston,America/Chicago,KCXO,KCXO
CXP,Tunggul Wulung Airport,-7.64506,109.033997,AS,ID,Cilacap,Asia/Jakarta,WAHL,WAHL
CXR,Cam Ranh International Airport / Cam Ranh Air Base,11.9982,109.219002,AS,VN,Cam Ranh,Asia/Ho_Chi_Minh,VVCR,VVCR
CYA,Antoine-Simon International Airport,18.271099,-73.7883,NA,HT,Les Cayes,America/Port-au-Prince,MTCA,MTCA
CYB,Charles Kirkconnell International Airport,19.687,-79.882797,NA,KY,West End,America/Cayman,MWCB,MWCB
CYC,Caye Chapel Airport,17.683792,-88.044985,NA,BZ,Caye Chapel,America/Belize,,MZCP
CYG,Corryong Airport,-36.18280029296875,147.88800048828125,OC,AU,,Australia/Melbourne,YCRG,YCRG
CYI,Chiayi Airport,23.462577,120.390544,AS,TW,Shuishang,Asia/Taipei,RCKU,RCKU
CYO,Vilo Acuña International Airport,21.6165008545,-81.5459976196,NA,CU,Cayo Largo del Sur,America/Havana,MUCL,MUCL
CYP,Calbayog Airport,12.072574,124.54508,AS,PH,Calbayog City,Asia/Manila,RPVC,RPVC
CYS,Cheyenne Regional Jerry Olson Field,41.155701,-104.811997,NA,US,Cheyenne,America/Denver,KCYS,KCYS
CYW,Captain Rogelio Castillo National Airport,20.545998,-100.886539,NA,MX,Celaya,America/Mexico_City,MMCY,MMCY
CYX,Cherskiy Airport,68.7406005859375,161.33799743652344,AS,RU,Cherskiy,Asia/Magadan,UESS,UESS
CYZ,Cauayan Airport,16.9298992157,121.752998352,AS,PH,Cauayan City,Asia/Manila,RPUY,RPUY
CZE,José Leonardo Chirinos Airport,11.414944,-69.680901,SA,VE,Coro,America/Caracas,SVCR,SVCR
CZF,Cape Romanzof LRRS Airport,61.78030014,-166.0390015,NA,US,Cape Romanzof,America/Nome,PACZ,PACZ
CZH,Corozal Airport,18.3822,-88.411903,NA,BZ,Corozal,America/Belize,,MZCZ
CZL,Mohamed Boudiaf International Airport,36.2760009765625,6.620389938354492,AF,DZ,Constantine,Africa/Algiers,DABC,DABC
CZM,Cozumel International Airport,20.514922,-86.928538,NA,MX,Cozumel,America/Cancun,MMCZ,MMCZ
CZS,Cruzeiro do Sul Airport,-7.59991,-72.769501,SA,BR,Cruzeiro Do Sul,America/Eirunepe,SBCZ,SBCZ
CZU,Las Brujas Airport,9.33274,-75.2856,SA,CO,Corozal,America/Bogota,SKCZ,SKCZ
CZX,Changzhou Benniu International Airport,31.920485,119.77546,AS,CN,Changzhou,Asia/Shanghai,ZSCG,ZSCG
DAA,Davison Army Air Field,38.715000152600005,-77.1809997559,NA,US,Fort Belvoir,America/New_York,KDAA,KDAA
DAB,Daytona Beach International Airport,29.179899,-81.058098,NA,US,Daytona Beach,America/New_York,KDAB,KDAB
DAC,Hazrat Shahjalal International Airport,23.843347,90.397783,AS,BD,Dhaka,Asia/Dhaka,VGHS,VGHS
DAD,Da Nang International Airport,16.0439,108.198997,AS,VN,Da Nang,Asia/Ho_Chi_Minh,VVDN,VVDN
DAG,Barstow Daggett Airport,34.85369873,-116.7870026,NA,US,Daggett,America/Los_Angeles,KDAG,KDAG
DAL,Dallas Love Field,32.847099,-96.851799,NA,US,Dallas,America/Chicago,KDAL,KDAL
DAM,Damascus International Airport,33.4114990234375,36.51559829711914,AS,SY,Damascus,Asia/Damascus,OSDI,OSDI
DAN,Danville Regional Airport,36.572899,-79.336098,NA,US,Danville,America/New_York,KDAN,KDAN
DAR,Julius Nyerere International Airport,-6.87811,39.202599,AF,TZ,Dar es Salaam,Africa/Dar_es_Salaam,HTDA,HTDA
DAU,Daru Airport,-9.08676,143.207993,OC,PG,Daru,Pacific/Port_Moresby,AYDU,AYDU
DAV,Enrique Malek International Airport,8.391,-82.434998,NA,PA,David,America/Panama,MPDA,MPDA
DAY,James M Cox Dayton International Airport,39.902401,-84.219398,NA,US,Dayton,America/New_York,KDAY,KDAY
DBB,El Alamein International Airport,30.924324,28.46161,AF,EG,El Alamein,Africa/Cairo,HEAL,HEAL
DBC,Baicheng Chang'an Airport,45.505278,123.019722,AS,CN,Baicheng,Asia/Shanghai,ZYBA,ZYBA
DBD,Dhanbad Airport,23.834,86.425301,AS,IN,,Asia/Kolkata,VEDB,VEDB
DBO,Dubbo City Regional Airport,-32.2167015076,148.574996948,OC,AU,Dubbo,Australia/Sydney,YSDU,YSDU
DBQ,Dubuque Regional Airport,42.402,-90.709503,NA,US,Dubuque,America/Chicago,KDBQ,KDBQ
DBR,Darbhanga Airport,26.192801,85.916901,AS,IN,Darbhanga,Asia/Kolkata,VEDH,VEDH
DBV,Dubrovnik Ruđer Bošković Airport,42.562247,18.265543,EU,HR,Čilipi,Europe/Zagreb,LDDU,LDDU
DCA,Ronald Reagan Washington National Airport,38.8521,-77.037697,NA,US,Washington,America/New_York,KDCA,KDCA
DCF,Canefield Airport,15.336693,-61.392108,NA,DM,Canefield,America/Dominica,TDCF,TDCF
DCI,Decimomannu Air Base,39.354198,8.97248,EU,IT,Decimomannu,Europe/Rome,LIED,LIED
DCM,Castres Mazamet Airport,43.556301,2.28918,EU,FR,Castres,Europe/Paris,LFCK,LFCK
DCN,RAAF Base Curtin,-17.580458,123.828449,OC,AU,Derby,Australia/Perth,YCIN,YCIN
DCT,Duncan Town Airport,22.181801,-75.7295,NA,BS,Duncan Town,America/Nassau,MYRD,MYRD
DCY,Daocheng Yading Airport,29.31632,100.060317,AS,CN,Garzê (Daocheng),Asia/Shanghai,ZUDC,ZUDC
DDC,Dodge City Regional Airport,37.76340103149414,-99.9655990600586,NA,US,Dodge City,America/Chicago,KDDC,KDDC
DDG,Dandong Langtou Airport,40.025453,124.28669,AS,CN,Dandong (Zhenxing),Asia/Shanghai,ZYDD,ZYDD
DDR,Rikaze Dingri Airport,28.604567,86.798,AS,CN,Xigazê (Dingri),Asia/Shanghai,ZUDR,ZUDR
DEA,Dera Ghazi Khan Airport,29.961000442504883,70.48590087890625,AS,PK,Dera Ghazi Khan,Asia/Karachi,OPDG,OPDG
DEB,Debrecen International Airport,47.488899,21.615299,EU,HU,Debrecen,Europe/Budapest,LHDC,LHDC
DEC,Decatur Airport,39.834598541259766,-88.8656997680664,NA,US,Decatur,America/Chicago,KDEC,KDEC
DED,Dehradun Jolly Grant Airport,30.189243,78.176651,AS,IN,Dehradun (Jauligrant),Asia/Kolkata,VIDN,VIDN
DEF,Dezful Airport,32.434399,48.397598,AS,IR,Dezful,Asia/Tehran,OIAD,OIAD
DEJ,Tongren Dejiang Airport (Under Construction),28.121,108.1631,AS,CN,Tongren,Asia/Shanghai,ZUDJ,ZUDJ
DEL,Indira Gandhi International Airport,28.55563,77.09519,AS,IN,New Delhi,Asia/Kolkata,VIDP,VIDP
DEN,Denver International Airport,39.861698150635,-104.672996521,NA,US,Denver,America/Denver,KDEN,KDEN
DET,Coleman A. Young Municipal Airport,42.40919876,-83.00990295,NA,US,Detroit,America/Detroit,,KDET
DEZ,Deir ez-Zor Airport,35.2854,40.175999,AS,SY,Deir ez-Zor,Asia/Damascus,OSDZ,OSDZ
DFW,Dallas Fort Worth International Airport,32.896801,-97.038002,NA,US,Dallas-Fort Worth,America/Chicago,KDFW,KDFW
DGA,Dangriga Airport,16.98251,-88.230988,NA,BZ,Dangriga,America/Belize,,MZPB
DGE,Mudgee Airport,-32.564794,149.609452,OC,AU,Mudgee,Australia/Sydney,YMDG,YMDG
DGO,General Guadalupe Victoria International Airport,24.125468,-104.527938,NA,MX,Durango,America/Monterrey,MMDO,MMDO
DGT,Sibulan Airport,9.334183,123.30191,AS,PH,Dumaguete City,Asia/Manila,RPVD,RPVD
DHA,King Abdulaziz Air Base,26.2654,50.152,AS,SA,Dhahran,Asia/Riyadh,OEDR,OEDR
DHF,Al Dhafra Air Base,24.248199462900004,54.547698974599996,AS,AE,,Asia/Dubai,OMAM,OMAM
DHM,Kangra Airport,32.164902,76.263018,AS,IN,Kangra,Asia/Kolkata,VIGG,VIGG
DHN,Dothan Regional Airport,31.321300506591797,-85.44960021972656,NA,US,Dothan,America/Chicago,KDHN,KDHN
DHR,De Kooy Airfield / Den Helder Naval Air Station,52.923401,4.78062,EU,NL,Den Helder,Europe/Amsterdam,EHKD,EHKD
DHT,Dalhart Municipal Airport,36.0225982666,-102.54699707,NA,US,Dalhart,America/Chicago,KDHT,KDHT
DHX,Dhoho International Airport,-7.750278,111.947222,AS,ID,Kediri,Asia/Jakarta,WARD,WARD
DIA,Doha International Airport,25.261101,51.565102,AS,QA,Doha,Asia/Qatar,OTBD,OTBD
DIB,Dibrugarh Airport,27.4839000702,95.0168991089,AS,IN,Dibrugarh,Asia/Kolkata,VEMN,VEMN
DIE,Arrachart Airport,-12.3494,49.291698,AF,MG,Antisiranana,Indian/Antananarivo,FMNA,FMNA
DIG,Diqing Shangri-La Airport,27.7936,99.6772,AS,CN,Diqing (Shangri-La),Asia/Shanghai,ZPDQ,ZPDQ
DIJ,Dijon Longvic airport,47.268902,5.09,EU,FR,Dijon,Europe/Paris,LFSD,LFSD
DIK,Dickinson Theodore Roosevelt Regional Airport,46.797533,-102.801905,NA,US,Dickinson,America/Denver,KDIK,KDIK
DIL,Presidente Nicolau Lobato International Airport,-8.546562,125.524507,AS,TL,Dili,Asia/Dili,WPDL,WPDL
DIN,Dien Bien Phu Airport,21.3974990845,103.008003235,AS,VN,Dien Bien Phu,Asia/Bangkok,VVDB,VVDB
DIR,Aba Tenna Dejazmach Yilma International Airport,9.624699592590332,41.85419845581055,AF,ET,Dire Dawa,Africa/Addis_Ababa,HADR,HADR
DIS,Ngot Nzoungou Airport,-4.20635,12.6599,AF,CG,Dolisie,Africa/Brazzaville,FCPD,FCPD
DIY,Diyarbakır Airport,37.893902,40.201,AS,TR,Diyarbakır,Europe/Istanbul,LTCC,LTCC
DJE,Djerba Zarzis International Airport,33.875,10.7755,AF,TN,Mellita,Africa/Tunis,DTTJ,DTTJ
DJG,Djanet Inedbirene Airport,24.292801,9.45244,AF,DZ,Djanet,Africa/Algiers,DAAJ,DAAJ
DJJ,Dortheys Hiyo Eluay International Airport,-2.579627,140.519857,AS,ID,Sentani,Asia/Jayapura,WAJJ,WAJJ
DJO,Daloa Airport,6.79281,-6.47319,AF,CI,,Africa/Abidjan,DIDL,DIDL
DKR,Léopold Sédar Senghor International Airport,14.7397,-17.4902,AF,SN,Dakar,Africa/Dakar,GOOY,GOOY
DKS,Dikson Airport,73.517807,80.379669,AS,RU,Dikson,Asia/Krasnoyarsk,UODD,UODD
DLA,Douala International Airport,4.0060801506,9.719479560849999,AF,CM,Douala,Africa/Douala,FKKD,FKKD
DLC,Dalian Zhoushuizi International Airport,38.965719,121.538477,AS,CN,Dalian (Ganjingzi),Asia/Shanghai,ZYTL,ZYTL
DLE,Dole Tavaux Airport,47.038955,5.427589,EU,FR,Dole,Europe/Paris,LFGJ,LFGJ
DLF,Laughlin Air Force Base,29.359501,-100.778002,NA,US,Del Rio,America/Chicago,KDLF,KDLF
DLG,Dillingham Airport,59.04470062,-158.5050049,NA,US,Dillingham,America/Anchorage,PADL,PADL
DLH,Duluth International Airport,46.842098,-92.193604,NA,US,Duluth,America/Chicago,KDLH,KDLH
DLI,Lien Khuong Airport,11.750556,108.366997,AS,VN,Da Lat,Asia/Ho_Chi_Minh,VVDL,VVDL
DLM,Dalaman International Airport,36.7131004333,28.7924995422,AS,TR,Dalaman,Europe/Istanbul,LTBS,LTBS
DLS,Columbia Gorge Regional Airport,45.620979,-121.170777,NA,US,Dallesport / The Dalles,America/Los_Angeles,KDLS,KDLS
DLU,Dali Fengyi Airport,25.649401,100.319,AS,CN,Dali (Xiaguan),Asia/Shanghai,ZPDL,ZPDL
DLZ,Dalanzadgad Airport,43.608628,104.367734,AS,MN,Dalanzadgad,Asia/Ulaanbaatar,ZMDZ,ZMDZ
DMA,Davis Monthan Air Force Base,32.1665000916,-110.883003235,NA,US,Tucson,America/Phoenix,KDMA,KDMA
DMB,Taraz Airport,42.853599548339844,71.30359649658203,AS,KZ,Taraz,Asia/Almaty,UADD,UADD
DME,Domodedovo International Airport,55.408798,37.9063,EU,RU,Moscow,Europe/Moscow,UUDD,UUDD
DMK,Don Mueang International Airport,13.9126,100.607002,AS,TH,Bangkok,Asia/Bangkok,VTBD,VTBD
DMM,King Fahd International Airport,26.471201,49.797901,AS,SA,Ad Dammam,Asia/Riyadh,OEDF,OEDF
DMN,Deming Municipal Airport,32.262298584,-107.721000671,NA,US,Deming,America/Denver,KDMN,KDMN
DMU,Dimapur Airport,25.883899688699998,93.77110290530001,AS,IN,Dimapur,Asia/Kolkata,VEMR,VEMR
DNA,Kadena Air Base,26.351667,127.769444,AS,JP,Okinawa,Asia/Tokyo,RODN,RODN
DND,Dundee Airport,56.45249938964844,-3.025830030441284,EU,GB,Dundee,Europe/London,EGPN,EGPN
DNH,Dunhuang Mogao International Airport,40.161098,94.809196,AS,CN,Dunhuang,Asia/Shanghai,ZLDH,ZLDH
DNK,Dnipro International Airport,48.357201,35.100601,EU,UA,Dnipro,Europe/Kyiv,UKDD,UKDD
DNL,Daniel Field,33.4664993286,-82.0393981934,NA,US,Augusta,America/New_York,KDNL,KDNL
DNQ,Deniliquin Airport,-35.5593986511,144.945999146,OC,AU,Deniliquin,Australia/Sydney,YDLQ,YDLQ
DNR,Dinard Pleurtuit Saint-Malo airport,48.5877,-2.07996,EU,FR,Dinard,Europe/Paris,LFRD,LFRD
DNZ,Çardak Airport,37.7855987549,29.7012996674,AS,TR,Denizli,Europe/Istanbul,LTAY,LTAY
DOD,Dodoma Airport,-6.17044,35.752602,AF,TZ,Dodoma,Africa/Dar_es_Salaam,HTDO,HTDO
DOG,Dongola Airport,19.153900146499996,30.430099487299998,AF,SD,Dongola,Africa/Khartoum,HSDN,HSDN
DOH,Hamad International Airport,25.273056,51.608056,AS,QA,Doha,Asia/Qatar,OTHH,OTHH
DOL,Deauville Normandie airport,49.365237,0.154481,EU,FR,Deauville,Europe/Paris,LFRG,LFRG
DOM,Douglas-Charles Airport,15.547,-61.299999,NA,DM,Marigot,America/Dominica,TDPD,TDPD
DOV,Dover Air Force Base,39.129501,-75.466003,NA,US,Dover,America/Indiana/Indianapolis,KDOV,KDOV
DOY,Dongying Shengli Airport,37.50137,118.789863,AS,CN,Dongying (Kenli),Asia/Shanghai,ZSDY,ZSDY
DPA,Dupage Airport,41.90779877,-88.24859619,NA,US,Chicago/West Chicago,America/Chicago,KDPA,KDPA
DPL,Dipolog Airport,8.601983,123.341875,AS,PH,Dipolog,Asia/Manila,RPMG,RPMG
DPO,Devonport Airport,-41.1697006226,146.429992676,OC,AU,Devonport,Australia/Hobart,YDPO,YDPO
DPS,Denpasar I Gusti Ngurah Rai International Airport,-8.748409,115.167123,AS,ID,"Kuta, Badung",Asia/Makassar,WADD,WADD
DQM,Duqm International Airport,19.501944,57.634167,AS,OM,Duqm,Asia/Muscat,,OODQ
